# x_m,y_m,altitude (m)
-686.475498,318.471114,34.6
-681.600103,319.567944,34
-676.710057,320.59743,33.4
-671.80495,321.552567,32.8
-666.884705,322.42637,32.2
-661.949592,323.211852,31.6
-657.000253,323.901866,30.8
-652.03773,324.489562,30
-647.063647,324.969859,29.1
-642.080131,325.339417,28.2
-637.089496,325.595075,27.4
-632.094238,325.733541,27.2
-627.097118,325.751712,27.1
-622.101113,325.646619,26.9
-617.109429,325.413881,26.8
-612.125866,325.046182,26.9
-607.155009,324.534855,27.7
-602.202152,323.871428,28.6
-597.273488,323.047397,29.5
-592.376113,322.054426,30.6
-587.517492,320.886496,31.5
-582.705197,319.540378,31.6
-577.947333,318.013101,31.8
-573.252686,316.301446,31.9
-568.630449,314.403005,31.9
-564.089633,312.31731,31.8
-559.638772,310.045921,31.6
-555.284945,307.593634,31.3
-551.032903,304.968763,31
-546.885269,302.181808,30.7
-542.843448,299.243481,30.4
-538.908132,296.163947,30.1
-535.07943,292.952813,29.7
-531.357483,289.618508,29.3
-527.742085,286.168913,28.8
-524.230651,282.613519,28.5
-520.818999,278.962236,28.4
-517.502254,275.224499,28.4
-514.275282,271.408956,28.4
-511.133678,267.52278,28.5
-508.073657,263.572019,28.6
-505.091261,259.562319,28.6
-502.18225,255.499044,28.6
-499.342215,251.387262,28.6
-496.566558,247.231762,28.7
-493.84958,243.03765,28.9
-491.184244,238.810516,29.1
-488.563072,234.555854,29.1
-485.97847,230.278877,29
-483.422681,225.984618,28.8
-480.887852,221.677954,28.5
-478.365962,217.363699,28.4
-475.84875,213.046711,28.5
-473.327835,208.731887,28.8
-470.794845,204.424142,29.2
-468.24145,200.128464,29.9
-465.659398,195.849953,30.9
-463.040545,191.593871,31.8
-460.376861,187.365715,31.8
-457.660219,183.171394,31.7
-454.881642,179.017857,31.6
-452.031199,174.91331,31.5
-449.099248,170.866593,31.3
-446.076593,166.887201,31.1
-442.955881,162.984225,30.9
-439.732437,159.165665,30.7
-436.402655,155.439532,30.5
-432.963168,151.814475,30.3
-429.410991,148.299823,29.9
-425.743828,144.905466,29.4
-421.959485,141.642395,28.8
-418.054573,138.524621,28.1
-414.025464,135.569156,27.5
-409.869947,132.794347,26.9
-405.587612,130.219646,26.2
-401.180071,127.865812,25.9
-396.65118,125.754997,25.5
-392.007253,123.911155,25.4
-387.257896,122.359131,25.5
-382.416569,121.123802,25.4
-377.501366,120.227589,25.4
-372.535397,119.678791,25.3
-367.543524,119.468351,25.3
-362.548588,119.588053,25.2
-357.572001,120.032542,25.1
-352.634383,120.797046,25
-347.755901,121.876542,25
-342.956508,123.266064,24.9
-338.255848,124.959791,24.9
-333.67184,126.947633,24.9
-329.220157,129.216252,24.9
-324.91623,131.753977,24.7
-320.779514,134.556126,24.5
-316.834584,137.622404,24.2
-313.106787,140.949153,23.7
-309.61515,144.522945,23
-306.366137,148.318376,22.2
-303.359752,152.308808,21.2
-300.607683,156.479254,20.1
-298.138231,160.822995,18.8
-295.976844,165.327656,19
-294.133355,169.971723,19.2
-292.59938,174.727005,19.3
-291.362423,179.567765,19.3
-290.41911,184.474133,19.2
-289.781274,189.429649,19.1
-289.460019,194.415792,19
-289.452372,199.412364,19
-289.744128,204.400464,18.9
-290.318443,209.364016,18.8
-291.158769,214.289548,18.8
-292.2483,219.166055,18.8
-293.570549,223.984712,18.8
