# x_m,y_m,altitude (m)
176.80738,519.433168,222.9
174.145041,515.209282,222.9
171.464139,510.997141,222.8
168.768601,506.79434,222.7
166.06232,502.598442,222.7
163.349167,498.406979,222.6
160.632996,494.217469,222.6
157.917661,490.027418,222.5
155.207021,485.834331,222.4
152.504953,481.63572,222.4
149.81536,477.429116,222.3
147.142185,473.212071,222.2
144.489415,468.982173,222.2
141.861095,464.737056,222.1
139.261336,460.474403,222.1
136.694327,456.191989,222
134.164375,451.887621,221.9
131.676153,447.558988,221.8
129.234813,443.203759,221.8
126.845652,438.819697,221.7
124.514091,434.404777,221.7
122.245543,429.957288,221.6
120.046155,425.47515,221.6
117.924438,420.955587,221.5
115.890419,416.395849,221.5
113.954279,411.793691,221.4
112.12653,407.147481,221.4
110.417757,402.45613,221.3
108.838021,397.719829,221.3
107.394709,392.940393,221.3
106.08883,388.121361,221.2
104.9202,383.267417,221.2
103.887095,378.382745,221.1
102.973471,373.473656,221
102.155455,368.548307,220.9
101.415663,363.611242,220.8
100.748148,358.663358,220.8
100.153094,353.705896,220.7
99.628518,348.740635,220.5
99.171002,343.768716,220.3
98.777008,338.791319,220.1
98.44303,333.809518,219.9
98.165571,328.824245,219.8
97.941425,323.836278,219.6
97.768273,318.846274,219.4
97.644521,313.854883,219.2
97.567468,308.862642,219
97.531206,303.869912,218.8
97.527402,298.877016,218.6
97.547051,293.884161,218.4
97.580865,288.891374,218.2
97.619618,283.89861,218
97.656372,278.905855,217.8
97.696315,273.913285,217.6
97.762244,268.921158,217.4
97.879523,263.929811,217.2
98.063244,258.940121,217.1
98.324299,253.953739,217
98.675139,248.973018,216.9
99.129928,244.000807,216.8
99.705683,239.041137,216.8
100.420689,234.099703,216.7
101.29266,229.183586,216.7
102.338697,224.301745,216.6
103.575255,219.464734,216.6
105.018861,214.68539,216.5
106.686597,209.979825,216.5
108.595876,205.366808,216.4
110.764148,200.870296,216.4
113.213636,196.52166,216.4
115.959689,192.352622,216.3
118.990259,188.38486,216.3
122.280156,184.630183,216.3
125.806697,181.096798,216.3
129.548654,177.792449,216.3
133.487254,174.725441,216.2
137.606521,171.905638,216.2
141.891172,169.343912,216.1
146.325546,167.051202,216.1
150.893817,165.038528,216.1
155.579594,163.317127,216.1
160.365646,161.898417,216.1
165.233836,160.794213,216.1
170.164734,160.016945,216.1
175.137206,159.579723,216.1
180.128143,159.496925,216.1
185.111795,159.783853,216.2
190.057973,160.453165,216.3
194.934202,161.517927,216.4
199.699801,163.003453,216.5
204.297461,164.945456,216.7
208.657129,167.373804,216.9
212.732504,170.254555,217.1
216.51825,173.50706,217.4
220.014012,177.070156,217.7
223.23043,180.887619,218
226.182043,184.913565,218.2
228.883405,189.111814,218.5
231.350431,193.4521,218.7
233.602635,197.907796,218.9
235.661836,202.456016,219.1
237.551255,207.077433,219.2
239.292019,211.756923,219.4
240.902742,216.482722,219.5
242.403689,221.24454,219.7
243.825378,226.030713,219.8
245.198573,230.831064,219.9
246.535171,235.641732,220.1
247.838435,240.461541,220.3
249.110615,245.289647,220.5
250.353974,250.125258,220.7
251.570789,254.967617,220.9
252.763343,259.816009,221.1
253.933932,264.669752,221.3
255.08486,269.528195,221.4
256.218439,274.390717,221.6
257.336988,279.256718,221.8
258.442829,284.125624,221.9
259.538294,288.996875,222.1
260.625715,293.869929,222.2
261.707429,298.744253,222.2
262.785776,303.619323,222.3
263.863095,308.49462,222.3
264.941739,313.369624,222.3
266.024074,318.24381,222.3
267.112467,323.116647,222.4
268.20928,327.987595,222.4
269.316874,332.856102,222.4
270.437605,337.721601,222.4
271.573824,342.583506,222.4
272.727875,347.441208,222.4
273.902096,352.294073,222.4
275.098816,357.141438,222.4
276.320357,361.982607,222.4
277.569028,366.816848,222.4
278.847129,371.643391,222.4
280.156948,376.461421,222.4
281.50076,381.270081,222.4
282.881829,386.068159,222.4
284.310181,390.852324,222.4
285.807503,395.615319,222.4
287.398435,400.347861,222.4
289.108259,405.03874,222.4
290.96209,409.674502,222.4
292.984498,414.239137,222.3
295.200801,418.712771,222.3
297.634189,423.071777,222.3
300.30898,427.286918,222.3
303.253797,431.318362,222.3
306.498026,435.111893,222.3
310.057478,438.61073,222.3
313.920579,441.772116,222.2
318.062114,444.557979,222.2
322.458401,446.919004,222.2
327.082024,448.795106,222.2
331.879693,450.168844,222.2
336.791995,451.051081,222.1
341.766327,451.460194,222.1
346.757468,451.417374,222.1
351.72658,450.944865,222.2
356.640424,450.066629,222.2
361.47193,448.811644,222.3
366.199906,447.209848,222.3
370.808136,445.290308,222.3
375.28439,443.081052,222.3
379.619844,440.607125,222.3
383.805025,437.885891,222.4
387.828885,434.931185,222.4
391.681282,431.756174,222.4
395.352631,428.373154,222.4
398.833592,424.794134,222.4
402.116726,421.032974,222.4
405.198434,417.105365,222.5
408.076736,413.026209,222.4
410.749638,408.809612,222.4
413.215684,404.468931,222.4
415.47316,400.016155,222.4
417.519008,395.462145,222.4
419.349601,390.817422,222.4
420.961452,386.092333,222.4
422.351015,381.297147,222.3
423.5147,376.442195,222.2
424.44887,371.537902,222.1
425.14985,366.594889,222
425.613944,361.624035,221.9
425.837464,356.636589,221.8
425.816775,351.644196,221.7
425.547953,346.658985,221.6
425.026599,341.693839,221.5
424.248148,336.762477,221.4
423.208207,331.879524,221.4
421.902425,327.060869,221.3
420.328037,322.323344,221.3
418.491993,317.681213,221.4
416.420972,313.138879,221.5
414.148187,308.693824,221.6
411.704287,304.340486,221.7
409.117678,300.070208,221.9
406.413945,295.872786,222
403.617177,291.736678,222.1
400.750597,287.648584,222.2
397.836837,283.593948,222.2
394.898015,279.557451,222.3
391.957877,275.521867,222.4
389.042285,271.468567,222.4
386.177639,267.379103,222.4
383.390809,263.236184,222.4
380.710166,259.023952,222.3
378.162722,254.729809,222.2
375.772872,250.345907,222
373.564869,245.867856,221.9
371.562973,241.294038,221.8
369.792268,236.626416,221.7
368.281631,231.868996,221.6
367.069256,227.026885,221.4
366.172782,222.116026,221.2
365.585607,217.158651,221.1
365.295183,212.175083,220.9
365.289259,207.183028,220.7
365.558222,202.198174,220.5
366.093898,197.234904,220.4
366.888993,192.306448,220.3
367.938353,187.425541,220.2
369.236419,182.604725,220.1
370.773342,177.8547,219.9
372.535853,173.183663,219.8
374.511095,168.598509,219.7
376.686939,164.10503,219.6
379.052017,159.708172,219.4
381.59632,155.412514,219.3
384.311057,151.222445,219.1
387.18777,147.141856,218.9
390.218219,143.174081,218.7
393.394434,139.321978,218.4
396.708715,135.587982,218.1
400.153629,131.974135,217.8
403.722017,128.482144,217.5
407.406979,125.113381,217.2
411.201884,121.868978,216.8
415.100303,118.74976,216.6
419.095568,115.755577,216.4
423.182204,112.887555,216.3
427.35915,110.152745,216.1
431.623538,107.555822,216
435.969642,105.097967,216
440.393069,102.782471,215.9
444.892044,100.617803,215.8
449.465474,98.615045,215.8
454.110444,96.78432,215.7
