# x_m,y_m,altitude (m)
839.214678,139.33302,143
840.138642,134.424695,142.9
841.053563,129.514512,142.9
841.961933,124.603102,142.8
842.863875,119.69051,142.8
843.759482,114.776758,142.7
844.648843,109.861872,142.7
845.532051,104.945876,142.6
846.409197,100.028794,142.6
847.280371,95.110651,142.6
848.145665,90.191469,142.5
849.005171,85.271273,142.5
849.85898,80.350084,142.4
850.707181,75.427926,142.3
851.549868,70.504821,142.3
852.387131,65.58079,142.2
853.219059,60.655855,142.1
854.04573,55.730035,142
854.867189,50.803344,142
855.683463,45.87579,141.9
856.494576,40.947385,141.9
857.300551,36.018137,141.8
858.101412,31.088055,141.7
858.897182,26.157149,141.7
859.687901,21.22543,141.6
860.473622,16.292913,141.5
861.2544,11.359611,141.5
862.030291,6.425538,141.4
862.80135,1.490708,141.3
863.567633,-3.444866,141.3
864.329196,-8.381171,141.2
865.086093,-13.318192,141.1
865.838382,-18.255918,141
866.586116,-23.194335,140.9
867.329354,-28.133431,140.9
868.06815,-33.073192,140.8
868.802561,-38.013608,140.7
869.532643,-42.954664,140.7
870.258453,-47.89635,140.6
870.980047,-52.838652,140.6
871.697482,-57.78156,140.5
872.410816,-62.725061,140.5
873.120105,-67.669143,140.5
873.825408,-72.613795,140.4
874.526777,-77.559008,140.3
875.224281,-82.504758,140.3
875.917935,-87.451045,140.2
876.607362,-92.397934,140.2
877.291872,-97.34551,140.1
877.970754,-102.293864,140
878.64329,-107.243082,139.9
879.308777,-112.193244,139.8
879.966436,-117.144458,139.7
880.614909,-122.096894,139.6
881.252376,-127.050753,139.5
881.876966,-132.006249,139.3
882.486839,-136.963609,139.2
883.079915,-141.922989,139.1
883.65545,-146.884426,139
884.215779,-151.847629,138.9
884.76425,-156.812139,138.8
885.303961,-161.777593,138.7
885.838073,-166.743647,138.5
886.369543,-171.709951,138.3
886.899388,-176.676431,138.1
887.426689,-181.643216,137.9
887.950225,-186.610409,137.7
888.468872,-191.578112,137.6
888.981457,-196.546452,137.4
889.486957,-201.515521,137.2
889.9849,-206.485344,137.1
890.47509,-211.455935,137
890.957318,-216.427307,136.8
891.431376,-221.399464,136.7
891.897056,-226.372412,136.5
892.354152,-231.346158,136.4
892.802455,-236.320704,136.3
893.241757,-241.296052,136.1
893.671851,-246.272205,136
894.092531,-251.249163,135.8
894.503587,-256.226925,135.7
894.904813,-261.205489,135.6
895.296002,-266.184852,135.5
895.676945,-271.165009,135.4
896.047435,-276.145954,135.3
896.407265,-281.127681,135.3
896.756227,-286.11018,135.2
897.094112,-291.093443,135.2
897.420713,-296.077458,135.2
897.735823,-301.062213,135.2
898.039231,-306.047693,135.2
898.330732,-311.033885,135.2
898.610109,-316.020771,135.2
898.87706,-321.008331,135.3
899.130883,-325.996602,135.3
899.365672,-330.985591,135.4
899.558686,-335.976136,135.5
899.682889,-340.969147,135.6
899.717127,-345.963866,135.6
899.641623,-350.958192,135.8
899.436173,-355.948652,136.1
899.080387,-360.930909,136.3
898.553544,-365.897394,136.6
897.836786,-370.839701,136.8
896.894806,-375.745156,137
895.639488,-380.578645,137.2
894.057812,-385.317491,137.4
892.210589,-389.959246,137.5
890.095155,-394.472381,137.6
887.689903,-398.858835,137.7
884.921378,-403.010926,137.9
881.719953,-406.837614,138.1
878.217624,-410.400127,138.2
874.491207,-413.719725,138.4
870.557408,-416.796326,138.5
866.445531,-419.631163,138.6
862.184663,-422.236875,138.7
857.801489,-424.631385,138.8
853.318819,-426.834448,138.9
848.756377,-428.867413,139
844.130858,-430.752727,139
839.45585,-432.512031,139.1
834.741714,-434.162628,139.1
829.997456,-435.722718,139.1
825.235485,-437.22855,139.1
820.467681,-438.716841,139.2
815.697531,-440.197624,139.2
810.922959,-441.66403,139.2
806.141126,-443.106419,139.1
801.349566,-444.516133,139.1
796.547082,-445.888498,139.1
791.733549,-447.221813,139
786.908977,-448.514626,139
782.073176,-449.764775,138.9
777.225903,-450.969633,138.8
772.366945,-452.126408,138.7
767.496149,-453.232239,138.7
762.61349,-454.284259,138.6
757.718963,-455.279358,138.6
752.812454,-456.213578,138.5
747.894018,-457.082551,138.5
742.963793,-457.882037,138.5
738.022197,-458.607667,138.4
733.070294,-459.255454,138.5
728.107687,-459.81772,138.5
723.132914,-460.271192,138.6
718.147756,-460.57299,138.6
713.154899,-460.713108,138.7
708.15972,-460.741047,138.7
703.166191,-460.705493,138.8
698.173118,-460.619589,138.9
693.180703,-460.456872,139
688.192813,-460.189633,139.1
683.211797,-459.819269,139.2
678.237773,-459.365989,139.3
673.270298,-458.847209,139.4
668.309171,-458.269926,139.5
663.354803,-457.636464,139.7
658.407623,-456.949158,139.8
653.467851,-456.210413,139.9
648.535654,-455.422592,139.9
643.611131,-454.588115,140
638.694289,-453.709484,140.1
633.785069,-452.789198,140.2
628.883357,-451.82969,140.3
623.989067,-450.833004,140.3
619.102244,-449.800393,140.3
614.222965,-448.732949,140.4
609.350838,-447.633492,140.4
604.484558,-446.508315,140.4
599.622306,-445.365736,140.4
594.762194,-444.214054,140.4
589.902739,-443.0596,140.4
585.04336,-441.904823,140.5
580.183978,-440.750058,140.5
575.324593,-439.595309,140.4
570.465202,-438.440581,140.3
565.605807,-437.285876,140.2
560.746404,-436.131198,140.1
555.886994,-434.976551,140
551.027577,-433.821939,140
546.16815,-432.667365,139.9
541.308713,-431.512832,139.8
536.449265,-430.358344,139.8
531.589806,-429.203904,139.8
526.730335,-428.049517,139.8
521.87085,-426.895186,139.8
517.011352,-425.740914,139.9
512.151838,-424.586705,140
507.292308,-423.432563,140
502.432762,-422.27849,140.1
497.573199,-421.124491,140.1
492.713617,-419.97057,140.1
487.854015,-418.816729,140.1
482.994394,-417.662972,140.2
478.134752,-416.509304,140.2
473.275088,-415.355727,140.2
468.415402,-414.202244,140.2
463.555692,-413.048861,140.2
458.695959,-411.89558,140.3
453.836199,-410.742404,140.3
448.976414,-409.589338,140.4
444.116603,-408.436385,140.4
439.256763,-407.283548,140.5
434.396895,-406.130831,140.5
429.536998,-404.978237,140.6
424.677071,-403.825771,140.6
419.817112,-402.673437,140.7
414.95712,-401.521244,140.8
410.097093,-400.369201,140.8
405.237027,-399.217316,140.9
400.376922,-398.0656,140.9
395.516775,-396.914061,141
390.656584,-395.762708,141.1
385.796347,-394.61155,141.1
380.936061,-393.460597,141.2
376.075724,-392.309857,141.3
371.215356,-391.159252,141.4
366.355246,-390.007558,141.5
361.496772,-388.849006,141.6
356.642901,-387.671386,141.7
351.797542,-386.45954,141.8
346.96456,-385.199441,141.8
342.146476,-383.883054,141.9
337.344523,-382.508482,142
332.559636,-381.075571,142
327.793161,-379.582619,142.1
323.046893,-378.026664,142.2
318.322879,-376.404482,142.3
313.62334,-374.712858,142.3
308.95071,-372.94838,142.4
304.30769,-371.107528,142.5
299.697295,-369.186815,142.6
295.121815,-367.183356,142.7
290.586845,-365.093903,142.7
286.091501,-362.916281,142.8
281.656515,-360.61802,142.9
277.324784,-358.132557,142.9
273.069998,-355.516434,143
268.874725,-352.806833,143
264.743231,-350.000595,143.1
260.679779,-347.096216,143.1
256.683852,-344.099753,143.2
252.752945,-341.018535,143.3
248.884294,-337.859466,143.3
245.074875,-334.629191,143.4
241.321302,-331.334193,143.4
237.621422,-327.978962,143.5
233.975515,-324.565066,143.6
230.384297,-321.093666,143.7
226.848437,-317.565884,143.8
223.369048,-313.982442,143.8
219.947075,-310.344241,143.9
216.57963,-306.655512,143.9
213.261121,-302.922654,144
209.986089,-299.151576,144
206.750829,-295.346318,144.1
203.552596,-291.509884,144.2
200.388736,-287.645052,144.3
197.256528,-283.754521,144.3
194.153191,-279.840921,144.4
191.075891,-275.906814,144.4
188.021742,-271.954705,144.5
184.987816,-267.987048,144.5
181.971174,-264.006235,144.6
178.968905,-260.01457,144.7
175.978089,-256.014317,144.8
172.995782,-252.007715,144.8
170.019027,-247.996986,144.9
167.044856,-243.984341,144.9
164.070296,-239.971985,145
161.092372,-235.962125,145.1
158.108119,-231.956973,145.1
155.114581,-227.958757,145.2
152.108818,-223.969724,145.3
149.087912,-219.992147,145.3
146.048963,-216.02834,145.4
142.989093,-212.080662,145.4
139.90546,-208.151519,145.5
136.795265,-204.243368,145.6
133.65576,-200.358726,145.7
130.484251,-196.500172,145.8
127.278098,-192.670353,145.9
124.034398,-188.872431,145.9
120.746185,-185.113243,145.9
117.395584,-181.409513,146
113.95816,-177.786034,146.1
110.409707,-174.271237,146.1
106.728245,-170.896097,146.2
102.895569,-167.694183,146.4
98.893727,-164.70637,146.5
94.702419,-161.991043,146.5
90.307832,-159.619416,146.6
85.718774,-157.650861,146.6
80.963426,-156.132698,146.6
76.07667,-155.088242,146.7
71.105653,-154.654054,146.7
66.117748,-154.909383,146.7
61.211737,-155.789032,146.7
56.473094,-157.350692,146.7
52.119929,-159.772491,146.8
48.294422,-162.979437,146.8
45.003672,-166.733145,146.7
42.225042,-170.877803,146.7
39.915003,-175.30279,146.7
38.048763,-179.932399,146.7
36.617434,-184.719276,146.7
35.653794,-189.619932,146.7
35.284433,-194.59297,146.6
35.359367,-199.589674,146.6
35.785619,-204.565926,146.5
36.531922,-209.502781,146.5
37.560192,-214.390343,146.4
38.835626,-219.21872,146.4
40.323939,-223.986188,146.3
41.995055,-228.692782,146.2
43.824397,-233.340292,146.2
45.789389,-237.932204,146.2
47.868232,-242.473843,146.1
50.03997,-246.971793,146.1
52.284136,-251.433904,146
54.578315,-255.870559,145.9
56.89797,-260.293999,145.9
59.21826,-264.717038,145.8
61.514083,-269.152768,145.8
63.759619,-273.614106,145.8
65.928134,-278.113354,145.7
67.992078,-282.661411,145.7
69.92352,-287.267172,145.7
71.692597,-291.937565,145.7
73.266987,-296.677131,145.7
74.611955,-301.486831,145.7
75.695713,-306.362029,145.7
76.494205,-311.291262,145.7
76.989888,-316.259705,145.7
77.137919,-321.250454,145.7
76.875597,-326.237345,145.7
76.092432,-331.168264,145.7
74.758895,-335.979658,145.8
72.960035,-340.636566,145.8
70.719239,-345.097627,145.8
67.965238,-349.259998,145.8
64.654931,-352.995159,145.8
60.897572,-356.282028,145.8
56.767643,-359.085038,145.8
52.295114,-361.290892,145.8
47.549212,-362.852365,145.9
42.675515,-363.924901,145.9
37.731561,-364.587217,145.9
32.741871,-364.847285,145.9
27.751714,-364.64137,145.9
22.80722,-363.945482,145.9
17.942109,-362.818279,145.9
13.172795,-361.340629,145.9
8.507716,-359.558478,145.9
3.961564,-357.490748,145.9
-0.451073,-355.151885,145.9
-4.717694,-352.556084,145.9
-8.826663,-349.717527,146
-12.769813,-346.652829,146
-16.546089,-343.384626,146
-20.161556,-339.939254,146
-23.622831,-336.338825,146
-26.93664,-332.602483,146
-30.112644,-328.747076,146
-33.155917,-324.785112,146
-36.012529,-320.690952,146
-38.576575,-316.407135,146.1
-40.907262,-311.988098,146
-43.103558,-307.502533,145.9
-45.165047,-302.953454,145.9
-47.080626,-298.34097,145.9
-48.84427,-293.668218,145.9
-50.459255,-288.942008,145.9
-51.92958,-284.168806,145.9
-53.259499,-279.354587,145.9
-54.453447,-274.504848,145.8
-55.516407,-269.62471,145.8
-56.456254,-264.71936,145.8
-57.282446,-259.793575,145.8
-58.004423,-254.851427,145.7
-58.63178,-249.896355,145.7
-59.173354,-244.931181,145.8
-59.613956,-239.956121,145.8
-59.85645,-234.967606,145.8
-59.951135,-229.973821,145.8
-59.979659,-224.979369,145.8
-59.933263,-219.984881,145.8
-59.808487,-214.991817,145.8
-59.601821,-210.001449,145.9
-59.313375,-205.015141,145.9
-58.942688,-200.034268,146
-58.489497,-195.060218,146
-57.953433,-190.094414,146.1
-57.334925,-185.138201,146.1
-56.637676,-180.19245,146.1
-55.867253,-175.257567,146.1
-55.02893,-170.333755,146.1
-54.127958,-165.421018,146.1
-53.169478,-160.519174,146.1
-52.157881,-155.628008,146.1
-51.09578,-150.747554,146.1
-49.985524,-145.877828,146.1
-48.829453,-141.018771,146.2
-47.629896,-136.170264,146.2
-46.389166,-131.332128,146.2
-45.109561,-126.504126,146.2
-43.793362,-121.68597,146.2
-42.442831,-116.877323,146.2
-41.060211,-112.077804,146.2
-39.647687,-107.286999,146.2
-38.207254,-102.504513,146.3
-36.74082,-97.729938,146.3
-35.251045,-92.96259,146.3
-33.741171,-88.201569,146.3
-32.214514,-83.445902,146.4
-30.674262,-78.694619,146.4
-29.12354,-73.946743,146.4
-27.56546,-69.201277,146.5
-26.00313,-64.457208,146.5
-24.439655,-59.713516,146.5
-22.878134,-54.969182,146.5
-21.321696,-50.22318,146.6
-19.774023,-45.474311,146.6
-18.239781,-40.721085,146.6
-16.723715,-35.962044,146.6
-15.226762,-31.197038,146.6
-13.722901,-26.434273,146.6
-12.139701,-21.697229,146.6
-10.408448,-17.012345,146.6
-8.468195,-12.410407,146.6
-6.261486,-7.930572,146.6
-3.734311,-3.62396,146.7
-0.838839,0.443476,146.7
2.463461,4.187295,146.7
6.192604,7.505179,146.7
10.33579,10.287593,146.7
14.86016,12.38763,146.7
19.69773,13.590678,146.7
24.672179,14.00131,146.7
29.65516,13.75275,146.6
34.558365,12.815569,146.6
39.297957,11.24569,146.5
43.842118,9.173588,146.5
48.186082,6.712477,146.5
52.346518,3.95013,146.4
56.340346,0.951088,146.4
60.188597,-2.232724,146.4
63.919562,-5.553045,146.3
67.565592,-8.966247,146.3
71.164942,-12.428865,146.3
74.750753,-15.905812,146.3
78.333295,-19.386096,146.3
81.913572,-22.868727,146.3
85.491533,-26.353731,146.3
89.067142,-29.841149,146.3
92.640363,-33.331015,146.3
96.211201,-36.823319,146.3
99.779707,-40.318005,146.3
103.345936,-43.815016,146.2
106.90994,-47.314294,146.2
110.471773,-50.815782,146.2
114.031488,-54.319422,146.1
117.589139,-57.825159,146.1
121.14478,-61.332935,146.1
124.698464,-64.842693,146.1
128.250246,-68.354376,146.1
131.800178,-71.867928,146.1
135.348317,-75.383293,146
138.894714,-78.900413,146
142.439426,-82.419233,146
145.982505,-85.939695,145.9
149.524007,-89.461745,145.9
153.063986,-92.985326,145.9
156.602497,-96.510381,145.9
160.139593,-100.036855,145.8
163.675331,-103.564692,145.8
167.209764,-107.093835,145.8
170.742948,-110.62423,145.7
174.274936,-114.15582,145.7
177.805783,-117.688551,145.7
181.33554,-121.222372,145.7
184.864259,-124.757229,145.7
188.391992,-128.29307,145.6
191.918791,-131.829842,145.6
195.444709,-135.367493,145.5
198.969797,-138.905971,145.5
202.494108,-142.445223,145.5
206.017694,-145.985197,145.4
209.540607,-149.52584,145.4
213.0629,-153.067101,145.4
216.584624,-156.608926,145.4
220.105833,-160.151265,145.3
223.626578,-163.694064,145.3
227.146912,-167.237271,145.2
230.666888,-170.780835,145.1
234.186557,-174.324703,145.1
237.705973,-177.868822,145
241.225187,-181.413142,144.9
244.744253,-184.957609,144.9
248.263222,-188.502172,144.8
251.782148,-192.046779,144.8
255.301082,-195.591377,144.7
258.820077,-199.135914,144.6
262.339186,-202.680338,144.5
265.858461,-206.224598,144.5
269.377954,-209.768641,144.4
272.897719,-213.312414,144.3
276.417806,-216.855866,144.3
